> print(ans_data)
     answers         freq
873    glory 1.347492e-04
874    gloss 2.769679e-05
875    glove 2.826290e-05
876    glyph 3.961754e-06
877    gnash 5.676578e-07
878    gnome 2.753838e-06
879    godly 1.191936e-05
880    going 2.043330e-03
881    golem 2.599281e-06
882    golly 1.882751e-06
883    gonad 4.499935e-06
884    goner 7.274841e-07
885    goody 7.078487e-06
886    gooey 1.671629e-06
887    goofy 3.731307e-06
888    goose 3.917056e-05
889    gorge 2.544497e-05
890    gouge 4.508424e-06
891    gourd 8.552593e-06
892    grace 2.615290e-04
893    grade 5.292470e-04
894    graft 5.987864e-05
895    grail 1.168155e-05
896    grain 4.181555e-04
897    grand 4.711812e-04
898    grant 9.100825e-04
899    grape 3.867003e-05
900    graph 2.607537e-04
901    grasp 9.794739e-05
902    grass 2.486459e-04
903    grate 1.009236e-05
904    grave 1.539118e-04
905    gravy 9.385198e-06
906    graze 1.135726e-05
907    great 3.026055e-03
908    greed 3.343326e-05
909    green 9.137739e-04
910    greet 2.793734e-05
911    grief 9.146649e-05
912    grill 2.784147e-05
913    grime 4.781916e-06
914    grimy 4.184356e-06
915    grind 1.898393e-05
916    gripe 2.302221e-06
917    groan 1.093507e-05
918    groin 1.237211e-05
919    groom 2.875150e-05
920    grope 2.781586e-06
921    gross 5.789988e-04
922    group 4.258362e-03
923    grout 1.436430e-05
924    grove 1.198923e-04
925    growl 6.242685e-06
926    grown 3.895721e-04
927    gruel 3.133393e-06
928    gruff 5.021000e-06
929    grunt 6.699181e-06
930    guard 3.529484e-04
931    guava 3.772079e-06
932    guess 2.168610e-04
933    guest 1.553129e-04
934    guide 8.202500e-04
935    guild 6.017374e-05
936    guile 4.379414e-06
937    guilt 1.422344e-04
938    guise 2.683291e-05
939    gulch 9.639620e-06
940    gully 1.217913e-05
941    gumbo 2.938815e-06
942    gummy 2.039227e-06
943    guppy 2.513219e-06
944    gusto 5.753896e-06
945    gusty 1.900627e-06
946    gypsy 2.847719e-05
947    habit 1.195130e-04
948    hairy 3.136652e-05
949    halve 3.075637e-06
950    handy 4.223276e-05
951    happy 3.960840e-04
952    hardy 7.904553e-05
953    harem 7.701422e-06
954    harpy 1.202280e-06
955    harry 2.140746e-04
956    harsh 9.280097e-05
957    haste 2.447262e-05
958    hasty 1.986785e-05
959    hatch 6.000032e-05
960    hater 3.847830e-06
961    haunt 1.580189e-05
962    haute 1.433257e-05
963    haven 1.402857e-04
964    havoc 1.661236e-05
965    hazel 2.956514e-05
966    heady 1.119128e-05
967    heard 8.332891e-04
968    heart 1.117068e-03
969    heath 5.487714e-05
970    heave 1.113800e-05
971    heavy 7.130274e-04
972    hedge 4.403068e-05
973    hefty 1.058594e-05
974    heist 1.757643e-06
975    helix 3.105677e-05
976    hello 4.978373e-05
977    hence 5.822856e-04
978    heron 1.728559e-05
979    hilly 1.580376e-05
980    hinge 2.955185e-05
981    hippo 4.728329e-06
982    hippy 1.424623e-06
983    hitch 1.479696e-05
984    hoard 1.309620e-05
985    hobby 2.997145e-05
986    hoist 1.525802e-05
987    holly 4.060033e-05
988    homer 5.717154e-05
989    honey 1.115249e-04
990    honor 2.490077e-04
991    horde 6.742981e-06
992    horny 4.711030e-06
993    horse 3.610495e-04
994    hotel 4.848400e-04
995    hotly 1.017149e-05
996    hound 1.266312e-05
997    house 3.229856e-03
998    hovel 2.075782e-06
999    hover 1.126034e-05
1000   howdy 2.181661e-06
1001   human 3.267196e-03
1002   humid 3.200132e-05
1003   humor 1.027051e-04
1004   humph 1.143171e-06
1005   humus 1.244357e-05
1006   hunch 6.966982e-06
1007   hunky 8.648688e-07
1008   hurry 5.861610e-05
1009   husky 9.714223e-06
1010   hussy 1.042176e-06
1011   hutch 3.584198e-06
1012   hydro 4.983631e-05
1013   hyena 3.381190e-06
1014   hymen 3.265462e-06
1015   hyper 1.738493e-05
1016   icily 1.290334e-06
1017   icing 1.656869e-05
1018   ideal 3.978999e-04
1019   idiom 2.426188e-05
1020   idiot 1.911201e-05
1021   idler 5.637894e-06
1022   idyll 4.461326e-06
1023   igloo 1.911247e-06
1024   iliac 1.325552e-05
1025   image 1.132444e-03
1026   imbue 2.512024e-06
1027   impel 2.948636e-06
1028   imply 1.413229e-04
1029   inane 2.815917e-06
1030   inbox 2.212944e-06
1031   incur 3.905705e-05
1032   index 1.170255e-03
1033   inept 9.389565e-06
1034   inert 4.121679e-05
1035   infer 4.743506e-05
1036   ingot 8.467153e-06
1037   inlay 5.193291e-06
1038   inlet 1.004984e-04
1039   inner 4.461228e-04
1040   input 7.469751e-04
1041   inter 3.253205e-04
